"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.48575525947996e-06,0.00774879006206458,0.201,0.156,0.0837227228945444,"STX4"
2.49552678989888e-06,0.0145355004326928,0.196,0.153,0.0840518378105842,"CDC7"
2.51942698404609e-06,0.0212770766183767,0.451,0.38,0.0848568202496564,"MAGOHB"
2.56750355316514e-06,0.0479294062650788,0.681,0.6,0.0864760871741551,"CST3"
2.60050639048438e-06,0.0113171000634693,0.212,0.167,0.0875876557379045,"PVRL3"
2.62796500843165e-06,0.0174466171641567,0.16,0.122,0.0885124894489865,"FBXO18"
2.63065447938527e-06,0.0178021210440141,0.407,0.335,0.0886030735201751,"COASY"
2.64792981092583e-06,0.00617403672154182,0.187,0.145,0.0891849239617928,"PRADC1"
2.65299614340363e-06,0.00801424142111284,0.185,0.143,0.0893555631059775,"ARHGAP21"
2.67742898538299e-06,0.00758267407231694,0.345,0.282,0.0901784856566844,"WDYHV1"
2.67780853396604e-06,0.00685906467726571,0.278,0.222,0.0901912692325102,"STAMBP"
2.70328834631187e-06,0.0122354037420933,0.159,0.121,0.0910494547921302,"OXCT1"
2.7038066974222e-06,0.0375219627105174,0.816,0.722,0.091066913375877,"PCNP"
2.70869558256003e-06,0.0133725113969832,0.386,0.318,0.0912315759162044,"E2F4"
2.71050992028795e-06,0.0195805211442609,0.54,0.459,0.0912926846252185,"RAB10"
2.71494858766646e-06,0.0117312148997294,0.245,0.195,0.091442183381194,"KIN"
2.72386238840814e-06,0.00262593052918664,0.323,0.262,0.0917424091039745,"ATP1B1"
2.73191691037696e-06,0.0134035669291373,0.137,0.103,0.0920136934584063,"POGLUT1"
2.73655768771665e-06,0.0162484436853817,0.118,0.086,0.0921699994799846,"LANCL2"
2.74020864560307e-06,0.00204804532719391,0.212,0.165,0.092292967392557,"PHF1"
2.76898362087511e-06,0.014846429741255,0.138,0.104,0.0932621373346947,"SETX"
2.76899460883538e-06,0.0123952293806808,0.259,0.209,0.0932625074201844,"PRELID3B"
2.76936340815988e-06,0.0175690649511559,0.11,0.08,0.0932749289502328,"GINS3"
2.77380024713975e-06,0.0188784692614232,0.255,0.205,0.0934243661239139,"MDN1"
2.77827290930402e-06,0.00817028652238627,0.139,0.104,0.0935750098582685,"SWSAP1"
2.79347509194283e-06,0.0235544348549568,0.658,0.569,0.0940870345717263,"PRKDC"
2.79774722941116e-06,0.0238993335844098,0.548,0.462,0.0942309244337974,"SLC35B1"
2.7979770064509e-06,0.0252256568019295,0.659,0.562,0.0942386635542726,"KARS"
2.79980887031982e-06,0.0151085435900585,0.43,0.358,0.0943003625612418,"MRPS9"
2.80720706125669e-06,0.00130179448116891,0.291,0.233,0.0945495410301865,"UFSP2"
2.81603961367248e-06,0.00539946885096385,0.216,0.169,0.0948470302281026,"CCDC91"
2.82339945967302e-06,0.0157050795413616,0.464,0.386,0.0950949172012468,"SNX2"
2.8360491644498e-06,0.0146379945959745,0.231,0.182,0.0955209719078338,"FAHD2B"
2.84195759321454e-06,0.0531321654023702,0.88,0.822,0.0957199736970588,"YWHAB"
2.84499528887831e-06,0.0112369262998299,0.14,0.105,0.0958222863247104,"DDX11"
2.84678475194732e-06,-0.153143217053084,0.491,0.506,0.0958825572303378,"NEAT1"
2.85282997895509e-06,0.0171288724191451,0.544,0.458,0.0960861665211865,"DPYSL2"
2.87877571853559e-06,0.00460601009860739,0.157,0.119,0.0969600449759971,"MKRN2"
2.88906460681708e-06,0.00724629560105478,0.316,0.257,0.0973065850222062,"CBX6"
2.90126319669917e-06,0.0482798403081817,0.949,0.903,0.0977174457280248,"PSMB7"
2.91163069657004e-06,0.0609001295929319,0.899,0.843,0.0980666334911755,"LAPTM4A"
2.9627649961399e-06,0.0265025022793876,0.701,0.608,0.0997888878349881,"TEAD2"
2.96521693837555e-06,0.0113144424497453,0.251,0.201,0.099871471701427,"RMND5A"
2.97220810178804e-06,0.0541489420196288,0.906,0.834,0.100106941076323,"NDUFA12"
2.99222698866338e-06,0.00981792890705269,0.276,0.222,0.100781197205171,"ZFAND2B"
2.99537329512591e-06,0.0174218927716608,0.148,0.112,0.100887167953136,"SH3BP1"
3.01669504754296e-06,0.0185007363069019,0.108,0.078,0.101605305896294,"UMAD1"
3.04050554811572e-06,0.0475441057103885,0.871,0.803,0.102407267366085,"ABRACL"
3.0745205203443e-06,0.017731630034439,0.22,0.175,0.103552925645716,"GTF3C1"
3.08174057736791e-06,0.00127407667786139,0.333,0.271,0.103796104386329,"LRRC42"
3.09129309507125e-06,0.00534252150498021,0.276,0.22,0.104117842735095,"ARMC6"
3.12784747454343e-06,0.0108762313109876,0.31,0.253,0.105349030790097,"CCNK"
3.14866413303287e-06,0.00350548098357018,0.266,0.211,0.10605015666468,"NCBP3"
3.15300111432702e-06,0.0120144200378969,0.113,0.082,0.106196230531648,"NECAP1"
3.1690726257829e-06,0.0114359650035141,0.247,0.198,0.106737535108994,"HYI"
3.18085381604252e-06,0.0377428608966649,0.577,0.49,0.107134337378128,"C8orf59"
3.18253036135387e-06,0.011194579106591,0.19,0.149,0.10719080510076,"CELF5"
3.19729646824411e-06,0.0156419469462166,0.12,0.088,0.10768814234693,"CNTNAP3B"
3.22185667010752e-06,0.054645671046359,0.455,0.39,0.108515354505891,"SOX3"
3.22306541213629e-06,0.0136688074083983,0.544,0.459,0.108556066146162,"ARPC4"
3.2246481938596e-06,0.0111888834169832,0.285,0.229,0.108609375817385,"RAD50"
3.24007845848745e-06,0.00562008023894922,0.317,0.258,0.109129082560316,"USP8"
3.24958240395108e-06,0.0643730549137054,0.848,0.791,0.109449184947476,"SRM"
3.25747443244562e-06,-0.0826505624612768,1,1,0.109714996359201,"MDK"
3.28957446802117e-06,0.0143159307086365,0.291,0.236,0.110796157657421,"RABEPK"
3.30061822579972e-06,0.00825696282426311,0.18,0.139,0.11116812246316,"HBS1L"
3.30244469216793e-06,0.00646627721189655,0.173,0.132,0.111229639676908,"USP33"
3.34756560910369e-06,0.00993041800229699,0.253,0.202,0.112749357280221,"TCAF1"
3.34870766774692e-06,0.00876513750909988,0.151,0.114,0.112787822957384,"TEFM"
3.37690014128381e-06,-0.129000446583484,0.445,0.448,0.11373737365858,"PDLIM2"
3.38777071840703e-06,0.011461013916498,0.443,0.367,0.114103505566667,"ENOPH1"
3.39199382986783e-06,0.0101367856841593,0.103,0.074,0.114245744183778,"ELOVL4"
3.39501663455528e-06,0.00939887723866667,0.277,0.223,0.114347555268457,"KPNA3"
3.40290801882729e-06,0.0124582631596364,0.161,0.124,0.114613344982122,"MOAP1"
3.40688894863221e-06,0.0110838564282192,0.191,0.148,0.114747426678882,"TMEM68"
3.40695086712118e-06,0.00577168913578852,0.231,0.183,0.114749512155509,"USF1"
3.40927082212391e-06,0.0144948215024161,0.162,0.124,0.114827650559955,"SKA1"
3.41154699951539e-06,0.00907288342187831,0.117,0.086,0.114904314490678,"GATB"
3.4392198924106e-06,0.0176775073711784,0.182,0.143,0.115836365196281,"PTPN13"
3.47991143718956e-06,0.00671741707087514,0.469,0.386,0.117206897115982,"BFAR"
3.48018375670032e-06,0.0167480014782009,0.408,0.339,0.117216069109423,"GNPAT"
3.49061245456818e-06,0.0105227323081082,0.317,0.257,0.117567318082311,"RNF4"
3.49454064889919e-06,0.0288698326200124,0.386,0.32,0.117699623595574,"HSD17B12"
3.50367823057732e-06,0.00823767010763266,0.268,0.216,0.118007386484075,"MXRA8"
3.52017327856465e-06,0.00686996339555535,0.296,0.24,0.118562956195336,"WDR46"
3.53747511446534e-06,0.0133053034006353,0.226,0.18,0.119145699330307,"PEX16"
